#{"t_start": 1766599316.844136, "env_id": "BipedalWalker-v3"}
r,l,t
272.324612,1113,3048.89928
272.815117,1120,3049.886403
266.857252,1177,3052.05833
269.740153,1150,3053.048896
271.088658,1144,3055.289137
276.983077,1051,3056.24855
268.828577,1168,3058.565181
268.540207,1172,3060.420252
276.371813,1070,3061.312505
272.048077,1124,3063.636527
149.88752,1099,3064.434006
270.6369,1125,3066.548934
273.536785,1116,3067.51366
270.416988,1131,3069.587267
272.299468,1099,3070.516778
272.761685,1113,3072.801773
273.361723,1082,3075.350492
267.767986,1175,3076.513663
268.410213,1181,3079.191595
270.607445,1151,3080.359699
272.179954,1116,3082.474126
271.97211,1115,3083.247443
271.510207,1140,3085.644702
276.171538,1080,3086.63054
274.998888,1089,3088.358736
271.968982,1118,3089.111732
271.398879,1124,3090.829039
274.289541,1079,3092.54446
271.939321,1124,3093.293445
270.880322,1130,3095.54656
271.574616,1144,3096.876795
275.775427,1067,3098.595875
273.484151,1110,3099.346253
273.973106,1097,3101.00016
272.055336,1106,3101.689999
273.858499,1095,3103.332578
269.150541,1158,3104.060342
273.809393,1102,3105.671997
273.181195,1109,3107.341572
272.830451,1118,3108.046525
276.224369,1060,3109.888463
274.890241,1073,3110.580796
273.420111,1100,3112.200879
274.885402,1100,3112.8881
274.451855,1091,3114.508475
274.847818,1091,3115.18899
275.453878,1064,3116.757864
271.440271,1113,3117.486578
273.180946,1097,3119.074617
268.862199,1155,3119.803707
268.750538,1171,3121.48289
270.910808,1121,3123.125792
271.706863,1109,3123.832271
272.40692,1118,3125.588646
270.459994,1147,3126.335143
277.028175,1054,3128.029405
274.131204,1094,3128.760967
272.254094,1128,3130.589989
256.384231,1350,3131.549465
275.41805,1066,3133.289179
273.000235,1095,3134.069239
272.314551,1130,3135.859659
272.591736,1100,3137.700801
271.3516,1135,3138.560761
272.492187,1121,3140.371386
270.207645,1152,3141.198465
-27.540459,462,3141.527816
275.379479,1103,3143.36845
273.923146,1109,3145.186147
271.399094,1118,3145.948015
275.811555,1085,3147.733203
271.853577,1139,3148.627431
269.927939,1138,3150.431829
275.101195,1087,3151.211041
277.600725,1047,3152.986007
271.461457,1139,3153.779849
275.77784,1075,3155.542979
276.108738,1057,3156.305584
270.255705,1125,3158.16074
274.327607,1111,3159.049503
274.88975,1072,3160.80133
256.894222,1328,3162.737299
272.07421,1122,3163.722359
264.661763,1233,3165.693187
271.918701,1105,3166.49302
271.253904,1142,3168.306398
276.360108,1063,3169.139836
272.961992,1109,3170.901478
274.540105,1098,3171.727958
273.594411,1099,3173.54474
268.949145,1162,3175.370208
269.66852,1146,3176.204977
275.666436,1074,3177.952091
274.869219,1070,3178.703628
271.46133,1114,3180.574793
268.416812,1181,3181.396536
273.457145,1096,3183.183126
271.330156,1145,3183.973102
275.937924,1073,3185.706519
274.856653,1082,3186.444731
274.847065,1090,3188.230376
273.54841,1096,3190.144834
267.633652,1199,3190.970576
276.316489,1068,3192.732293
-41.447002,532,3193.104212
273.856319,1095,3193.907012
275.026726,1087,3195.653089
272.667129,1119,3197.452856
270.814386,1155,3198.317239
274.617679,1086,3200.145172
272.735501,1119,3200.942587
270.412287,1141,3202.969747
273.919083,1096,3203.752563
274.464056,1094,3205.544156
274.345559,1115,3206.315721
275.905035,1071,3208.076646
140.358581,1043,3208.800827
275.268856,1087,3210.647168
274.225876,1086,3211.428256
275.943894,1091,3213.201345
276.385505,1084,3214.017523
273.884327,1095,3215.797586
265.831374,1207,3217.633348
276.488737,1049,3218.393665
275.585768,1083,3220.19506
68.314794,792,3220.864422
273.838203,1100,3222.631515
276.292922,1076,3223.398933
272.724291,1105,3225.174235
270.969407,1144,3225.949712
272.552995,1109,3227.741913
273.393903,1101,3228.636766
273.744156,1107,3230.406292
269.934908,1154,3231.297288
271.133419,1141,3233.058365
275.506059,1088,3233.855024
273.067956,1128,3235.7058
272.687995,1126,3237.436997
270.97049,1128,3238.232985
275.924397,1075,3239.987875
