#{"t_start": 1766559234.0708675, "env_id": "BipedalWalker-v3"}
r,l,t
226.770446,1600,22120.416347
13.596947,833,22121.030624
250.25484,1600,22123.401856
257.843073,1498,22125.760673
251.304438,1587,22126.974797
-59.449631,409,22128.520491
-3.910075,777,22129.131923
248.699321,1600,22131.520256
257.326537,1530,22133.772923
30.088381,857,22134.39836
254.374915,1560,22136.661854
229.543009,1600,22138.942992
-114.133662,145,22139.046537
261.696062,1472,22140.203923
249.084663,1588,22142.514984
230.257525,1600,22144.919707
226.41071,1600,22147.345568
251.336241,1590,22148.549412
-75.329606,320,22150.00939
-97.331996,164,22150.190296
245.845924,1600,22151.460212
248.259048,1600,22153.811715
249.238438,1578,22156.184798
129.647535,1600,22158.555323
253.43348,1596,22160.987558
212.39461,1600,22162.237394
238.465686,1600,22164.613981
-60.78843,396,22164.909756
230.842459,1600,22167.32063
215.990046,1600,22169.719729
-34.140657,678,22170.266867
38.382553,1123,22172.429525
237.500265,1600,22174.8585
-87.507341,186,22174.993238
237.338444,1600,22176.250253
250.452137,1523,22178.595814
254.465935,1510,22180.921236
251.970766,1515,22183.341017
248.871127,1584,22184.541456
-66.114956,319,22185.923017
237.339287,1600,22187.169849
27.371999,868,22189.02846
245.270826,1600,22191.520359
252.209288,1517,22192.708541
240.898962,1600,22195.095683
236.293274,1600,22197.533077
245.922196,1589,22199.898159
247.826213,1543,22201.089148
249.636983,1560,22203.688835
244.681623,1591,22206.142664
246.89358,1584,22208.565402
255.911034,1448,22209.705415
248.524253,1574,22212.108589
68.345231,1498,22214.49464
241.886327,1600,22216.916434
129.563645,1581,22218.113761
253.142483,1490,22220.479803
245.101941,1565,22222.955708
227.74021,1600,22225.404526
247.675994,1531,22227.781122
90.174393,1344,22228.804331
249.049054,1541,22231.192955
245.436365,1548,22233.73822
245.607044,1560,22234.951982
241.857875,1600,22237.380514
247.596202,1554,22239.791972
248.614471,1551,22242.129529
241.453473,1600,22244.639207
51.305643,1123,22245.473674
40.579722,907,22247.384561
241.474877,1600,22248.594737
244.882857,1599,22251.057267
242.647992,1600,22253.533627
246.192227,1582,22255.918256
234.289584,1600,22257.142462
249.358705,1520,22259.514825
251.492536,1507,22261.898984
14.278538,976,22262.667967
242.019067,1591,22265.19167
234.165794,1600,22267.902784
11.691829,948,22268.715711
76.362391,1279,22270.870414
247.827138,1536,22273.258121
249.993166,1502,22274.465471
252.586563,1475,22276.944216
243.487723,1594,22279.677863
249.696877,1521,22282.077462
245.307934,1549,22283.245776
246.803911,1545,22285.773074
238.170136,1600,22288.174839
241.278037,1600,22290.550198
97.06273,1371,22291.654207
217.178712,1600,22294.039255
44.536045,1032,22296.069552
240.302352,1600,22298.397651
243.715218,1589,22299.5929
224.030805,1600,22301.891563
246.919267,1555,22304.201333
209.130572,1600,22306.627398
226.109326,1600,22307.860792
205.306008,1600,22310.176819
23.161523,894,22312.062629
179.516799,1600,22313.337698
238.282107,1600,22315.686939
223.268713,1600,22317.982031
238.517739,1600,22320.420738
-22.828746,576,22320.851757
250.462142,1504,22323.462454
82.076468,1258,22324.541195
236.802437,1600,22327.07233
244.047152,1546,22329.501356
244.806079,1558,22331.832207
246.696028,1506,22333.033328
238.14235,1600,22335.43053
243.149368,1570,22337.935164
248.044083,1516,22340.550613
241.851367,1574,22341.950205
244.89547,1551,22344.599061
