#{"t_start": 1766708368.2664728, "env_id": "BipedalWalker-v3"}
r,l,t
-36.219392,1600,380.162827
-36.30831,1600,381.085571
-33.978428,1600,382.07859
-37.438635,1600,385.093886
-33.962141,1600,386.023072
-36.292641,1600,387.051878
-37.214764,1600,388.027951
-32.166453,1600,388.984008
-122.769666,672,389.512687
-34.040049,1600,391.048621
-31.790129,1600,392.037627
-33.408396,1600,393.076957
-32.21363,1600,394.045882
-35.687517,1600,395.044507
-31.156653,1600,398.052264
-33.366794,1600,399.039181
-31.959959,1600,399.969018
-41.799688,1600,401.051207
-32.332921,1600,402.038076
-130.008988,804,402.676824
-31.821181,1600,404.947857
-31.602977,1600,405.940039
-32.009476,1600,406.909338
-31.812651,1600,407.86082
-31.912909,1600,408.801787
-32.801463,1600,411.088253
-31.818716,1600,412.045264
-31.578843,1600,412.961073
-31.857822,1600,413.962495
-32.803174,1600,414.923695
-122.685476,679,416.568375
-31.92369,1600,418.079099
-31.699946,1600,419.07954
-30.400365,1600,420.049612
-31.363613,1600,420.994095
-30.029256,1600,421.972794
-137.078454,912,422.711069
-30.033109,1600,423.970949
-31.040412,1600,424.884016
-30.373312,1600,425.865937
-31.313862,1600,426.746963
-31.365641,1600,427.633346
-34.574621,1600,429.990493
-32.731997,1600,430.832953
-32.637991,1600,431.552359
-31.722072,1600,432.38552
-33.676257,1600,433.120351
-142.602384,967,434.501369
-32.771427,1600,435.423342
-32.759322,1600,436.170858
-30.555394,1600,436.905975
-32.798243,1600,437.655869
-31.863684,1600,438.3985
-125.084542,703,438.903153
-30.916374,1600,440.020051
-32.857313,1600,440.726877
-31.810505,1600,441.46114
-32.703632,1600,442.22778
-32.738187,1600,443.061455
-35.465586,1600,445.36636
-36.14131,1600,446.071145
-36.231733,1600,446.851059
-34.442646,1600,447.533686
-36.057418,1600,448.281029
-37.841767,1600,450.546008
-37.469799,1600,451.280586
-38.747599,1600,451.985549
-37.730559,1600,452.874111
-38.321342,1600,453.561701
-38.621111,1600,455.077374
-44.196469,1600,455.909927
-37.036729,1600,456.638347
-37.125789,1600,457.386726
-37.479972,1600,458.164255
-38.249876,1600,460.422596
-34.799299,1600,461.208401
-38.087887,1600,461.915776
-37.694651,1600,462.628256
-35.65595,1600,463.513041
-39.510072,1600,464.975537
-38.248194,1600,465.831736
-36.949974,1600,466.50677
-36.69985,1600,467.244955
-34.204943,1600,467.96366
-40.88529,1600,470.161875
-36.423769,1600,470.965011
-36.031367,1600,471.699024
-47.434306,1600,472.457299
-35.563372,1600,473.202875
-111.802561,493,473.536155
-40.440585,1600,475.579743
-37.416884,1600,476.41623
-49.331135,1600,477.146124
-38.229147,1600,477.852174
-50.274552,1600,478.553998
-37.381251,1600,480.075209
-37.650316,1600,480.869054
-39.279713,1600,481.611143
-36.955509,1600,482.317401
-51.301546,1600,483.01158
-40.865334,1600,485.293922
-41.386821,1600,486.110629
-44.448899,1600,486.830546
-39.934622,1600,487.550242
-36.537528,1600,488.263947
-36.021948,1600,489.696526
-44.581864,1600,490.416097
-37.159546,1600,491.233096
-35.542685,1600,491.983612
-39.749923,1600,492.699089
-35.963493,1600,495.027999
-46.305002,1600,495.740178
-29.350711,1600,496.5526
-38.245611,1600,497.312128
-39.270495,1600,498.050179
-33.828932,1600,500.196379
-40.11212,1600,500.919332
-36.911429,1600,501.731099
-38.068356,1600,502.457018
-31.536985,1600,503.212987
-119.572168,605,503.563105
-30.526307,1600,504.694053
-31.858544,1600,505.47526
-38.289872,1600,506.224733
-28.297438,1600,507.09035
-38.006812,1600,507.872079
-35.842621,1600,510.096928
-33.178122,1600,510.909783
-36.202829,1600,511.637329
-34.820406,1600,512.385717
-37.656998,1600,513.124177
-34.226245,1600,514.597421
-34.624387,1600,515.362708
-38.648784,1600,516.083476
-35.422306,1600,516.866711
-35.646348,1600,517.562484
-33.226187,1600,519.772634
-32.987349,1600,520.470783
-24.136298,1600,521.233202
-27.843266,1600,522.028022
-27.196195,1600,522.765991
-110.935744,482,523.076094
-36.352883,1600,525.039533
-24.308029,1600,525.841389
-26.030617,1600,526.516315
-36.700748,1600,527.359677
-36.708968,1600,528.116229
-23.761932,1600,529.614513
-29.009549,1600,530.316724
-36.813211,1600,531.05161
-23.501739,1600,531.822827
-36.777723,1600,532.546597
-109.079547,459,533.57446
-35.07643,1600,534.833689
-28.632368,1600,535.519459
-31.03957,1600,536.328685
-44.448757,1600,537.110602
-53.398585,1600,537.929906
-123.843125,647,538.325052
-27.186883,1600,540.191889
-29.364594,1600,540.95265
-30.163587,1600,541.704241
-29.917698,1600,542.504802
-31.071054,1600,543.234215
-30.089173,1600,544.624691
-27.504618,1600,545.375608
-30.753124,1600,546.158701
-29.681919,1600,546.877005
-40.030626,1600,547.676548
-34.374253,1600,549.930144
-49.829249,1600,550.629586
-43.175637,1600,551.379836
-43.531366,1600,552.137252
-41.816203,1600,552.955858
-41.891974,1600,554.455648
-44.455307,1600,555.361759
-35.370262,1600,556.1155
-30.592379,1600,556.900746
-45.936184,1600,557.655617
-44.137915,1600,559.882676
-37.962664,1600,560.636217
-48.260234,1600,561.381215
-41.775191,1600,562.212435
-41.626062,1600,563.034739
-41.656923,1600,565.263782
-50.773177,1600,565.988159
-40.196272,1600,566.724056
-44.795588,1600,567.540434
-60.008863,1600,568.408303
-40.913576,1600,569.921498
-38.786316,1600,570.615806
-50.199574,1600,571.345252
-40.697806,1600,572.075017
-42.409583,1600,572.785942
-112.599187,512,573.181132
-34.197081,1600,575.055195
-51.040023,1600,575.794085
-43.900147,1600,576.548014
-39.837516,1600,577.347666
-53.928527,1600,578.13874
-35.230302,1600,579.643273
-41.263682,1600,580.383598
-36.984314,1600,581.129349
-44.738745,1600,581.85162
-38.621817,1600,582.642241
-43.538538,1600,584.965889
-43.449258,1600,585.651899
-46.141605,1600,586.387264
-35.723561,1600,587.125257
-43.533793,1600,588.333952
-115.961885,594,588.787081
-37.696261,1600,590.854421
-43.742578,1600,591.681087
-33.701687,1600,592.806704
-43.240828,1600,594.199603
-52.651528,1600,595.229241
-102.375231,365,595.465028
-31.905486,1600,596.818496
-39.603345,1600,597.63372
-46.218396,1600,598.513215
-51.600744,1600,599.254024
-39.48688,1600,600.008462
-119.021685,603,601.194038
-49.663931,1600,602.387673
-55.159111,1600,603.142342
-44.753526,1600,603.871667
-100.930938,556,604.23115
-29.663259,1600,605.054353
-108.680991,449,605.315808
-44.292837,1600,606.718572
-13.151557,1600,607.488051
-28.428103,1600,608.243146
-45.335911,1600,609.017817
-49.403499,1600,609.753622
-39.095494,1600,612.146624
-39.242241,1600,612.840354
-44.428284,1600,613.594273
-40.911425,1600,614.313608
-33.331328,1600,615.006186
-58.287646,1600,617.217244
-61.544016,1600,617.972976
-47.82548,1600,618.849321
-57.425247,1600,619.573977
-50.466601,1600,620.313783
-108.71523,464,620.617675
-105.002135,402,620.913472
-46.346386,1600,621.921354
-46.611601,1600,622.680665
-45.980633,1600,623.385853
-46.18458,1600,624.107223
-45.543928,1600,624.860815
-51.220083,1600,627.341527
-41.5708,1600,628.151505
-32.053644,1600,629.175076
-44.880248,1600,630.150495
-65.229421,1600,631.133772
-47.693976,1600,634.165081
-42.002359,1600,636.870882
-49.834489,1600,638.805521
-46.053314,1600,641.076205
-43.314834,1600,642.750692
-107.845044,447,643.327638
-46.866134,1600,645.319767
-35.144109,1600,646.336233
-47.079061,1600,647.407501
-49.939685,1600,648.49362
-47.46724,1600,649.545922
-52.81375,1600,652.96751
-53.242621,1600,654.180937
-50.010945,1600,655.222811
-54.062716,1600,656.277985
-54.863265,1600,657.32223
-104.520329,382,657.641703
-122.18778,85,657.711892
-45.672746,1600,659.426227
-55.549999,1600,660.67445
-48.576952,1600,663.023931
-52.387723,1600,664.131284
-46.73405,1600,665.264045
-121.821512,669,667.489633
-54.89292,1600,669.413433
-63.51536,1600,670.894046
-54.443319,1600,672.067672
-56.462856,1600,673.217815
-52.658645,1600,674.280078
-122.302572,686,674.871852
-55.905427,1600,677.496709
-52.026524,1600,678.559438
-54.320192,1600,679.592738
-50.38985,1600,680.704939
-56.236231,1600,681.732094
-129.039194,797,682.443703
-55.59603,1600,684.033773
-55.47036,1600,685.112515
-54.777116,1600,686.166833
-49.362337,1600,687.251986
-56.220734,1600,688.68088
-52.842801,1600,692.488816
-58.496815,1600,693.593544
-54.552497,1600,694.869201
-53.975138,1600,695.951556
-55.650868,1600,697.108552
-55.473574,1600,699.290513
-54.637001,1600,700.579121
-54.12457,1600,701.870727
-54.071086,1600,703.078599
-50.958256,1600,704.323025
-48.143,1600,707.721556
-41.900699,1600,708.785615
-43.855527,1600,709.919843
-49.071853,1600,711.158494
-43.11074,1600,712.225714
-46.989533,1600,715.61505
-49.744348,1600,716.680427
-47.417235,1600,717.738595
-45.517352,1600,718.790573
-47.217374,1600,719.821643
-64.178182,1600,721.978831
-49.469297,1600,723.011828
-48.466359,1600,724.072319
-47.585035,1600,725.103983
-48.39146,1600,726.274674
-46.387029,1600,729.506031
-47.668031,1600,730.563166
-49.226155,1600,731.653326
-53.538098,1600,732.730909
-51.103665,1600,733.80519
-111.490075,505,734.25145
-47.729121,1600,735.990324
-47.312631,1600,737.156908
-50.084719,1600,738.256988
-49.435054,1600,739.381826
-51.375067,1600,740.53043
-71.958117,1600,744.024098
-50.942347,1600,745.145449
-63.27065,1600,746.280575
-63.28244,1600,747.444585
-52.621681,1600,748.599389
-49.302516,1600,752.009377
-52.23205,1600,753.125607
-54.94265,1600,754.232289
-52.103389,1600,755.383103
-52.478112,1600,756.544883
-59.617246,1600,758.991858
-55.7164,1600,760.160993
-54.171399,1600,761.354075
-49.066168,1600,762.526397
-52.258473,1600,763.801833
-56.033534,1600,767.632681
-42.70302,1600,768.89675
-59.495342,1600,770.068754
-59.634504,1600,771.237799
-55.802687,1600,772.429057
-114.692528,547,772.960461
-59.661656,1600,774.35303
-67.432449,1600,775.264141
-59.476893,1600,776.149359
-56.11181,1600,777.042702
-55.983864,1600,777.918226
-54.625896,1600,780.49395
-57.067124,1600,781.367687
-54.973238,1600,782.199041
-68.244673,1600,783.010388
-57.744444,1600,783.850953
-43.883075,1600,786.412091
-64.157582,1600,787.249115
-62.134544,1600,788.09668
-58.88446,1600,789.043849
-48.910103,1600,789.858886
-133.28342,881,790.490795
-61.861127,1600,791.594573
-61.948079,1600,792.460859
-58.871189,1600,793.282474
-35.443786,1600,794.109395
-44.000646,1600,794.91725
-108.838384,493,796.134251
-60.617402,1600,797.508752
-60.575759,1600,798.320756
-59.849243,1600,799.272879
-43.431837,1600,800.092959
-50.5178,1600,800.889922
-46.477794,1600,803.466451
-42.842792,1600,804.28997
-41.689796,1600,805.153871
-45.380358,1600,806.073802
-41.907917,1600,806.893368
-120.4564,691,807.365491
-42.560873,1600,808.580173
-52.702584,1600,809.500851
-43.727853,1600,810.368754
-41.666198,1600,811.193835
-42.049318,1600,811.985863
-118.425392,607,812.428055
-62.307648,1600,814.538456
-66.381493,1600,815.336728
-62.139431,1600,816.212847
-42.460924,1600,817.076072
-42.196132,1600,817.849933
-61.585019,1600,819.585098
-43.00053,1600,820.496034
-63.203721,1600,821.391643
-47.798739,1600,822.173484
-62.114949,1600,822.991728
-109.733816,477,824.215183
-48.06601,1600,825.576445
-53.792072,1600,826.400163
-44.250661,1600,827.192131
-41.769531,1600,828.037815
-40.459212,1600,828.842852
-65.126551,1600,831.536182
-50.494804,1600,832.378909
-51.848413,1600,833.184963
-46.207339,1600,833.998272
-45.64225,1600,834.862254
-51.772412,1600,836.60986
-47.470034,1600,837.420234
-42.353494,1600,838.188661
-46.792453,1600,839.019687
-67.437233,1600,839.822981
-65.946593,1600,842.875953
-38.908928,1600,843.72512
-43.349396,1600,844.513772
-52.406522,1600,845.330312
-42.965372,1600,846.144272
-137.265193,970,846.81396
-37.410214,1600,847.868965
-70.852442,1600,848.698548
-37.734201,1600,849.495665
-42.809126,1600,850.322244
-48.576637,1600,851.343271
-45.883261,1600,853.898925
-39.189862,1600,854.744202
-39.427413,1600,855.566196
-32.908877,1600,856.370532
-74.264403,1600,857.19079
-116.235532,91,857.250782
-40.778904,1600,859.686686
-41.965151,1600,860.475109
-63.066496,1600,861.303667
-41.776706,1600,862.355355
-64.345003,1600,863.223217
-124.253915,719,863.722615
-41.816884,1600,864.903021
-64.404889,1600,865.736217
-42.432819,1600,866.567012
-42.124033,1600,867.36713
-37.945097,1600,868.220649
-55.532843,1600,870.737026
-66.520677,1600,871.501884
-71.379368,1600,872.490413
-44.566386,1600,873.275995
-42.278618,1600,874.084125
-115.270576,581,874.516625
-74.920475,1600,875.786683
-39.914931,1600,876.703315
-42.036532,1600,877.469972
-68.293076,1600,878.244455
-41.515829,1600,879.071148
-44.09527,1600,881.626983
-40.381276,1600,882.844842
-40.404841,1600,883.802946
-43.320449,1600,884.570894
-40.525158,1600,885.403866
-76.804524,1600,887.927603
-44.785342,1600,888.779806
-45.202636,1600,889.567521
-47.879959,1600,890.410434
-42.559244,1600,891.241868
-46.31743,1600,893.015214
-45.148041,1600,893.87965
-46.53427,1600,894.717906
-46.209214,1600,895.523894
-45.746761,1600,896.366623
-69.154954,1600,898.94605
-54.134584,1600,899.799263
-46.196944,1600,900.588777
-44.216774,1600,901.465288
-69.159196,1600,902.269704
-50.767743,1600,904.978814
-49.664319,1600,905.796641
-49.744642,1600,906.636477
-68.925068,1600,907.45419
-49.883845,1600,908.261949
-46.784801,1600,909.978371
-50.255149,1600,910.825004
-49.886254,1600,911.73359
-49.829883,1600,912.87309
-49.779178,1600,914.133305
-111.104543,520,914.482392
-67.209332,1600,916.763418
